"name","lat","lon","type","state_code","code"
"Якоруда","42.08333","23.7","ADM2",38,"BLG53"
"Струмяни","41.63333","23.2","ADM2",38,"BLG49"
"Симитли","41.88333","23.16667","ADM2",38,"BLG44"
"Сатовча","41.61667","24.01667","ADM2",38,"BLG42"
"Сандански","41.56667","23.45","ADM2",38,"BLG40"
"Разлог","41.95","23.46667","ADM2",38,"BLG37"
"Петрич","41.45","23.16667","ADM2",38,"BLG33"
"Кресна","41.76667","23.23333","ADM2",38,"BLG28"
"Хаджидимово","41.5","23.83333","ADM2",38,"BLG52"
"Гърмен","41.7","23.85","ADM2",38,"BLG13"
"Гоце Делчев","41.63333","23.68333","ADM2",38,"BLG11"
"Благоевград","42.01667","23.16667","ADM2",38,"BLG03"
"Белица","42.01667","23.58333","ADM2",38,"BLG02"
"Банско","41.8","23.6","ADM2",38,"BLG01"
"Сунгурларе","42.83333","26.83333","ADM2",39,"BGS23"
"Созопол","42.33333","27.51667","ADM2",39,"BGS21"
"Руен","42.88333","27.25","ADM2",39,"BGS18"
"Поморие","42.73333","27.55","ADM2",39,"BGS17"
"Несебър","42.78333","27.73333","ADM2",39,"BGS15"
"Царево","42.1","27.81667","ADM2",39,"BGS13"
"Малко Търново","42.08333","27.53333","ADM2",39,"BGS12"
"Карнобат","42.65","26.98333","ADM2",39,"BGS09"
"Камено","42.51667","27.18333","ADM2",39,"BGS08"
"Средец","42.26667","27.13333","ADM2",39,"BGS06"
"Бургас","42.5","27.46667","ADM2",39,"BGS04"
"Айтос","42.7","27.25","ADM2",39,"BGS01"
"Приморско","42.25","27.63333","ADM2",39,"BGS27"
"Добрич","43.56667","27.83333","ADM2",40,"DOB28"
"Тервел","43.75","27.4","ADM2",40,"DOB27"
"Шабла","43.61667","28.51667","ADM2",40,"DOB29"
"Крушари","43.88333","27.75","ADM2",40,"DOB20"
"Каварна","43.5","28.38333","ADM2",40,"DOB17"
"Генерал-Тошево","43.73333","28.08333","ADM2",40,"DOB12"
"Балчик","43.5","28.13333","ADM2",40,"DOB03"
"Добрич-Селска","43.63333","27.73333","ADM2",40,"DOB15"
"Трявна","42.85","25.55","ADM2",41,"GAB35"
"Севлиево","43.01667","25.1","ADM2",41,"GAB29"
"Габрово","42.9","25.3","ADM2",41,"GAB05"
"Дряново",43,"25.46667","ADM2",41,"GAB12"
"София","42.68647","23.30561","ADM2",42,"SOF46"
"Тополовград","42.08333","26.33333","ADM2",43,"HKV32"
"Свиленград","41.86667","26.31667","ADM2",43,"HKV28"
"Стамболово","41.73333","25.7","ADM2",43,"HKV30"
"Симеоновград","42.05","25.88333","ADM2",43,"HKV29"
"Минерални Бани","41.9","25.33333","ADM2",43,"HKV19"
"Любимец","41.81667","26.05","ADM2",43,"HKV17"
"Хасково","41.88333","25.61667","ADM2",43,"HKV34"
"Харманли","41.93333","25.98333","ADM2",43,"HKV33"
"Ивайловград","41.48333",26,"ADM2",43,"HKV11"
"Димитровград","42.05","25.6","ADM2",43,"HKV09"
"Маджарово","41.68333","25.9","ADM2",43,"HKV18"
"Момчилград","41.53333","25.5","ADM2",44,"KRZ21"
"Кърджали","41.68333","25.43333","ADM2",44,"KRZ16"
"Крумовград","41.45","25.7","ADM2",44,"KRZ15"
"Кирково","41.35","25.33333","ADM2",44,"KRZ14"
"Джебел","41.5","25.26667","ADM2",44,"KRZ08"
"Черноочене","41.78333","25.25","ADM2",44,"KRZ35"
"Ардино","41.6","25.15","ADM2",44,"KRZ02"
"Трекляно","42.55","22.6","ADM2",45,"KNL50"
"Дупница","42.28333","23.15","ADM2",45,"KNL48"
"Сапарева Баня","42.28333","23.31667","ADM2",45,"KNL41"
"Рила","42.15","23.31667","ADM2",45,"KNL38"
"Невестино","42.16667","22.83333","ADM2",45,"KNL31"
"Кюстендил","42.28333","22.68333","ADM2",45,"KNL29"
"Кочериново","42.1","23.03333","ADM2",45,"KNL27"
"Бобовдол","42.31667","22.98333","ADM2",45,"KNL04"
"Бобочево","42.18333","23.03333","ADM2",45,"KNL05"
"Ябланица","43.06667","24.13333","ADM2",46,"LOV38"
"Угърчин","43.1","24.41667","ADM2",46,"LOV36"
"Троян","42.88333","24.71667","ADM2",46,"LOV34"
"Тетевен","42.91667","24.26667","ADM2",46,"LOV33"
"Луковит","43.18333","24.25","ADM2",46,"LOV19"
"Ловеч","43.16667","24.8","ADM2",46,"LOV18"
"Летница","43.28333","25.08333","ADM2",46,"LOV17"
"Априлци","42.83333","24.91667","ADM2",46,"LOV02"
"Якимово","43.63333","23.33333","ADM2",47,"MON38"
"Вършец","43.21667","23.33333","ADM2",47,"MON12"
"Вълчедръм","43.71667","23.51667","ADM2",47,"MON11"
"Монтана","43.46667","23.2","ADM2",47,"MON29"
"Медковец","43.65","23.18333","ADM2",47,"MON26"
"Лом","43.81667","23.23333","ADM2",47,"MON24"
"Георги-Дамяново","43.35",23,"ADM2",47,"MON14"
"Чипровци","43.41667","22.9","ADM2",47,"MON36"
"Брусарци","43.66667","23.06667","ADM2",47,"MON07"
"Бойчиновци","43.53333","23.43333","ADM2",47,"MON04"
"Берковица","43.26667","23.15","ADM2",47,"MON02"
"Велинград","41.96667","23.93333","ADM2",48,"PAZ08"
"Стрелча","42.46667","24.36667","ADM2",48,"PAZ32"
"Септември","42.26667","24.13333","ADM2",48,"PAZ29"
"Ракитово",42,"24.15","ADM2",48,"PAZ24"
"Пещера","42.03333","24.3","ADM2",48,"PAZ21"
"Пазарджик","42.2","24.33333","ADM2",48,"PAZ19"
"Панагюрище","42.5","24.16667","ADM2",48,"PAZ20"
"Лесичово","42.36667","24.15","ADM2",48,"PAZ14"
"Брацигово",42,"24.4","ADM2",48,"PAZ06"
"Белово","42.2","23.93333","ADM2",48,"PAZ04"
"Батак","41.86667","24.21667","ADM2",48,"PAZ03"
"Земен","42.55","22.75","ADM2",49,"PER19"
"Трън","42.76667","22.63333","ADM2",49,"PER51"
"Радомир","42.46667","23.01667","ADM2",49,"PER36"
"Перник","42.61667","23.08333","ADM2",49,"PER32"
"Ковачевци","42.55","22.83333","ADM2",49,"PER22"
"Брезник","42.71667","22.85","ADM2",49,"PER08"
"Пордим","43.38333","24.9","ADM2",50,"PVN27"
"Плевен","43.4","24.7","ADM2",50,"PVN24"
"Искър","43.5","24.28333","ADM2",50,"PVN23"
"Никопол","43.6","24.93333","ADM2",50,"PVN21"
"Левски","43.43333","25.1","ADM2",50,"PVN16"
"Гулянци","43.68333","24.65","ADM2",50,"PVN08"
"Долни Дъбник","43.36667","24.41667","ADM2",50,"PVN11"
"Долна Митрополия","43.58333","24.41667","ADM2",50,"PVN10"
"Червен бряг","43.33333","24.13333","ADM2",50,"PVN37"
"Белене","43.63333","25.13333","ADM2",50,"PVN03"
"Съединение","42.31667","24.58333","ADM2",51,"PDV33"
"Садово","42.13333",25,"ADM2",51,"PDV28"
"Раковски","42.26667","24.98333","ADM2",51,"PDV25"
"Първомай","42.03333","25.2","ADM2",51,"PDV23"
"Пловдив","42.15","24.75","ADM2",51,"PDV22"
"Лъки","41.81667","24.85","ADM2",51,"PDV15"
"Хисаря","42.5","24.6","ADM2",51,"PDV37"
"Карлово","42.68333","24.66667","ADM2",51,"PDV13"
"Калояново","42.38333","24.81667","ADM2",51,"PDV12"
"Девин","41.74346","24.40192","ADM2",51,"SML09"
"Брезово","42.4","25.05","ADM2",51,"PDV07"
"Асеновград","41.95","24.96667","ADM2",51,"PDV01"
"Родопи","42.03333","24.68333","ADM2",51,"PDV26"
"Перущица","42.06667","24.55","ADM2",51,"PDV40"
"Кричим",42,"24.48333","ADM2",51,"PDV39"
"Стамболийски","42.11667","24.51667","ADM2",51,"PDV41"
"Марица","42.23333","24.8","ADM2",51,"PDV17"
"Завет","43.76667","26.68333","ADM2",52,"RAZ11"
"Симитли","43.6","26.8","ADM2",52,"RAZ29"
"Разград","43.53333","26.51667","ADM2",52,"RAZ26"
"Лозница","43.41667","26.58333","ADM2",52,"RAZ17"
"Кубрат","43.86667","26.48333","ADM2",52,"RAZ16"
"Цар Калоян","43.6","26.21667","ADM2",52,"RAZ36"
"Исперих","43.71667","26.83333","ADM2",52,"RAZ14"
"Ветово","43.71667","26.33333","ADM2",53,"RSE05"
"Ценово","43.58333","25.61667","ADM2",53,"RSE37"
"Сливо Поле","43.96667","26.3","ADM2",53,"RSE33"
"Русе","43.85","26.08333","ADM2",53,"RSE27"
"Иваново","43.7","25.98333","ADM2",53,"RSE13"
"Две могили","43.51667","25.96667","ADM2",53,"RSE08"
"Бяла","43.41667","25.83333","ADM2",53,"RSE04"
"Борово","43.6","25.8","ADM2",53,"RSE03"
"Върбица","43.01667","26.75","ADM2",54,"SHU10"
"Венец","43.55","26.93333","ADM2",54,"SHU07"
"Смядово","43.05","27.05","ADM2",54,"SHU25"
"Шумен","43.26667","26.98333","ADM2",54,"SHU30"
"Велики Преслав","43.18333","26.86667","ADM2",54,"SHU23"
"Нови Пазар","43.41667","27.21667","ADM2",54,"SHU22"
"Никола-Козлево","43.58333","27.26667","ADM2",54,"SHU21"
"Каспичан","43.3","27.18333","ADM2",54,"SHU19"
"Каолиново","43.61667","27.11667","ADM2",54,"SHU18"
"Хитрино","43.43333","26.91667","ADM2",54,"SHU11"
"Тутракан",44,"26.6","ADM2",55,"SLS34"
"Ситово","44.01667",27,"ADM2",55,"SLS32"
"Силистра","44.03333","27.2","ADM2",55,"SLS31"
"Кайнарджа","43.95","27.53333","ADM2",55,"SLS15"
"Главиница","43.95","26.85","ADM2",55,"SLS07"
"Дулово","43.81667","27.08333","ADM2",55,"SLS10"
"Алфатар","43.9","27.33333","ADM2",55,"SLS01"
"Твърдица","42.73333",26,"ADM2",56,"SLV24"
"Сливен","42.66667","26.31667","ADM2",56,"SLV20"
"Нова Згора","42.45","26.05","ADM2",56,"SLV16"
"Котел","42.88333","26.45","ADM2",56,"SLV11"
"Златоград","41.4","25.06667","ADM2",57,"SML11"
"Смолян","41.58333","24.68333","ADM2",57,"SML31"
"Рудозем","41.45","24.83333","ADM2",57,"SML27"
"Неделино","41.48333","25.1","ADM2",57,"SML18"
"Мадан","41.53333","24.96667","ADM2",57,"SML16"
"Доспат","41.65","24.16667","ADM2",57,"SML10"
"Чепеларе","41.8","24.68333","ADM2",57,"SML38"
"Борино","41.65","24.3","ADM2",57,"SML05"
"Баните","41.7",25,"ADM2",57,"SML02"
"Своге",43,"23.4","ADM2",58,"SFO43"
"Златица","42.7","24.13333","ADM2",58,"SFO47"
"Сливница","42.85","22.98333","ADM2",58,"SFO45"
"Самоков","42.33333","23.55","ADM2",58,"SFO39"
"Костинброд","42.88333","23.2","ADM2",58,"SFO26"
"Костенец","42.3","23.86667","ADM2",58,"SFO25"
"Копривщица","42.61667","24.38333","ADM2",58,"SFO24"
"Ихтиман","42.43333","23.81667","ADM2",58,"SFO20"
"Горна Малина","42.71667","23.8","ADM2",58,"SFO10"
"Годеч","43.06667","23.06667","ADM2",58,"SFO09"
"Етрополе","42.85","24.03333","ADM2",58,"SFO18"
"Елин Пелин","42.66667","23.6","ADM2",58,"SFO17"
"Драгоман","42.93333","22.93333","ADM2",58,"SFO16"
"Долна Баня","42.3","23.76667","ADM2",58,"SFO59"
"Божурище","42.78333","23.11667","ADM2",58,"SFO06"
"Ботевград","42.95","23.75","ADM2",58,"SFO07"
"Мирково","42.66667","23.96667","ADM2",58,"SFO56"
"Чавдар","42.61667","24.08333","ADM2",58,"SFO57"
"Челопеч","42.71667","24.06667","ADM2",58,"SFO58"
"Пирдоп","42.7","24.23333","ADM2",58,"SFO55"
"Антон","42.76667","24.3","ADM2",58,"SFO54"
"Правец","42.96667","23.98333","ADM2",58,"SFO34"
"Стара Загора","42.41667","25.63333","ADM2",59,"SZR31"
"Раднево","42.3","25.93333","ADM2",59,"SZR27"
"Павел Баня","42.63333","25.13333","ADM2",59,"SZR24"
"Опан","42.21667","25.7","ADM2",59,"SZR23"
"Мъглиж","42.63333","25.61667","ADM2",59,"SZR22"
"Казанлък","42.61943","25.39885","ADM2",59,"SZR12"
"Гурково","42.71667","25.8","ADM2",59,"SZR37"
"Гълъбово","42.15","25.96667","ADM2",59,"SZR07"
"Чирпан","42.23333","25.38333","ADM2",59,"SZR36"
"Братя Даскалови","42.3","25.21667","ADM2",59,"SZR04"
"Николаево","42.6","25.78333","ADM2",59,"SZR38"
"Търговище","43.25","26.56667","ADM2",60,"TGV35"
"Попово","43.35","26.23333","ADM2",60,"TGV24"
"Опака","43.46667","26.15","ADM2",60,"TGV23"
"Омуртаг","43.08333","26.48333","ADM2",60,"TGV22"
"Антоново","43.11667","26.2","ADM2",60,"TGV02"
"Вълчидол","43.45","27.5","ADM2",61,"VAR09"
"Ветрино","43.31667","27.43333","ADM2",61,"VAR08"
"Варна","43.21667","27.91667","ADM2",61,"VAR06"
"Суворово","43.33333","27.65","ADM2",61,"VAR26"
"Провадия","43.18333","27.4","ADM2",61,"VAR24"
"Долни чифлик","42.96667","27.68333","ADM2",61,"VAR13"
"Дългопол","43.05","27.35","ADM2",61,"VAR16"
"Девня","43.25","27.6","ADM2",61,"VAR14"
"Бяла","42.88333","27.81667","ADM2",61,"VAR05"
"Белослав","43.2","27.73333","ADM2",61,"VAR04"
"Аврен","43.1","27.71667","ADM2",61,"VAR01"
"Аксаково","43.31667","27.85","ADM2",61,"VAR02"
"Златарица","43.06667","25.98333","ADM2",62,"VTR14"
"Велико Търново","43.08241","25.63202","ADM2",62,"VTR04"
"Свищов","43.53333","25.35","ADM2",62,"VTR28"
"Сухиндол","43.16667","25.2","ADM2",62,"VTR32"
"Стражица","43.26667","25.98333","ADM2",62,"VTR31"
"Полски Тръмбеш","43.35","25.58333","ADM2",62,"VTR26"
"Павликени","43.28333","25.35","ADM2",62,"VTR22"
"Лясковец","43.13333","25.85","ADM2",62,"VTR20"
"Горна Оряховица","43.21667","25.75","ADM2",62,"VTR06"
"Елена","42.91667","25.95","ADM2",62,"VTR13"
"Видин",44,"22.83333","ADM2",63,"VID09"
"Ружинци","43.65","22.9","ADM2",63,"VID33"
"Ново Село","44.11667","22.83333","ADM2",63,"VID30"
"Макреш","43.78333","22.56667","ADM2",63,"VID25"
"Кула","43.9","22.56667","ADM2",63,"VID22"
"Грамада","43.83333","22.65","ADM2",63,"VID15"
"Димово","43.75","22.81667","ADM2",63,"VID16"
"Чупрене","43.5","22.71667","ADM2",63,"VID37"
"Брегово","44.11667","22.7","ADM2",63,"VID06"
"Бойница",44,"22.55","ADM2",63,"VID03"
"Белоградчик","43.65","22.6","ADM2",63,"VID01"
"Враца","43.28333","23.6","ADM2",64,"VRC10"
"Роман","43.15","23.91667","ADM2",64,"VRC32"
"Оряхово","43.73333","23.96667","ADM2",64,"VRC31"
"Мизия","43.63333","23.85","ADM2",64,"VRC28"
"Мездра","43.13333","23.73333","ADM2",64,"VRC27"
"Криводол","43.38333","23.48333","ADM2",64,"VRC21"
"Козлодуй","43.71667","23.73333","ADM2",64,"VRC20"
"Кнежа","43.5","24.11667","ADM2",64,"PVN39"
"Бяла Слатина","43.46667","23.93333","ADM2",64,"VRC08"
"Борован","43.43333","23.75","ADM2",64,"VRC05"
"Хайредин","43.58333","23.66667","ADM2",64,"VRC35"
"Ямбол","42.48333","26.5","ADM2",65,"JAM26"
"Стралджа","42.48333","26.78333","ADM2",65,"JAM22"
"Елхово","42.11667","26.61667","ADM2",65,"JAM07"
"Болярово","42.15","26.85","ADM2",65,"JAM03"
"Тунджа","42.35","26.45","ADM2",65,"JAM25"
